495,220,0,-0.3,0.8
457,231,0.09,-0.3,0.8
443,225,0.13999999999999999,-0.3,0.8
442,227,0.13999999999999999,-0.3,0.8
440,230,0.13999999999999999,-0.3,0.8
442,227,0.13999999999999999,-0.3,0.8
442,227,0.13999999999999999,-0.3,0.8
442,227,0.13999999999999999,-0.3,0.8
442,227,0.13999999999999999,-0.3,0.8
443,226,0.13999999999999999,-0.3,0.8
441,229,0.15,-0.3,0.8
441,229,0.16,-0.3,0.8
441,229,0.17,-0.3,0.8
436,221,0.17,-0.3,0.8
429,227,0.17,-0.3,0.8
424,235,0.17,-0.3,0.8
433,225,0.17,-0.3,0.8
433,227,0.17,-0.3,0.8
433,227,0.17,-0.3,0.8
430,229,0.17,-0.3,0.8
430,229,0.17,-0.3,0.8
430,229,0.17,-0.3,0.8
430,229,0.17,-0.3,0.8
430,229,0.17,-0.3,0.8
430,227,0.17,-0.3,0.8
430,229,0.17,-0.3,0.8
431,229,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
430,229,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,229,0.17,-0.3,0.8
430,229,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
430,229,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
434,226,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,229,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,229,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
434,226,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,229,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
431,227,0.17,-0.3,0.8
